@id,@lon,@lat,name,description
5392203447,21.7570985,42.084404,Костина Чешма,
5392203448,21.757946,42.0753659,Орловац,
5475798448,22.6864905,41.1909558,Кале Тепе,611
5552090624,22.4146287,42.2673826,Сиври Тепе,
5812693620,20.9113596,41.6835884,Тепе,1528
5812693621,21.010891,41.7773797,Дупен Камен,1857
5812693622,21.3949274,41.9651277,Крстовар,1066
5812693623,21.1693339,41.9107524,Крстец тепе (1401),1401
5812784175,21.5268506,41.7541225,Лисец (1935),1935
5812784176,21.3697413,41.6866577,Перчулица,2423
5812784177,21.8144475,41.5703357,Клепа (1149),1149
5812784180,22.2531053,42.3537972,Чупино Брдо,1703
5812784181,22.2190329,42.25447,Стража (1547),1547
5812784182,22.1785293,42.0497613,Плавица,1297
5812784183,22.0010017,42.0198299,Асаница (874),874
5812784184,22.6489053,41.6478507,Грамадник,1420
5812784185,22.5408101,41.4600744,Елешница (971),971
5812784186,22.5229381,41.3777219,Кара тепе (997),997
5812784187,22.3347788,41.4681966,Волчjак (1159),1159
5812784189,21.9081759,41.1349014,Балтова Чука,1823
5812784190,21.616292,41.2079581,Висока,1471
5812784191,21.6496006,41.3282998,Студеница / Ливада,1663
5812784192,21.8273568,41.3482919,Чаве (1557),1557
5814032669,21.2038007,41.1154999,Бел Камен,1430
5814032670,21.0761965,41.3844089,Кафчал,1762
5814032671,20.8544853,41.4598169,Вели Врв,1535
5814032672,20.7633069,41.3745767,Славеj,1714
5814706348,21.0889384,42.1937149,Куле,2324
5814706350,21.0573746,42.1759613,Пири Брег,2449
5814706352,21.0520053,42.1564493,Баjрак,2265
5814707254,21.027197,42.1532417,Црн Камен,2536
5814707258,21.0199836,42.146138,Тумба,2330
5814707259,21.0029067,42.1462074,Езерски Врв,2580
5814707261,20.9150611,42.116675,Јовин Камен,2312
5814707263,20.8016188,42.0697056,Шереметица,2310
5814707266,20.7517713,42.0144723,Косовиќ,
5814707274,20.7734143,42.0038671,Крива Шија,2511
5814707277,20.7972825,41.9836995,Турчин,2702
5814707278,20.754667,41.9468037,Челепински Врв,2554
5814707280,20.78183,41.9332206,Езерски рид,2586
5814707282,20.8744086,42.0982202,Treskavec (2435),2444
5814707283,20.7667591,41.8690176,Бел Камен,2024
6018316971,22.3261335,42.336363,Голешки чукар,1466
6018331404,22.1824946,42.3333932,Кита,1370
6151850236,21.4691761,41.2558777,Страга,787
6279314331,22.8761371,41.9702926,Обел,1300
6280560931,22.9162824,41.8767879,Момина Солза,1338
6349538601,22.6570763,41.720174,Паруца,1356
6471363872,22.2875806,41.9028536,Курилово,474
6471389650,22.6344266,41.9917848,Дедоантоска Чука,596
6496448704,20.9011891,40.9288323,Вршина,976
6498968308,22.3307392,42.2124134,Шилегарник,822
6503504436,21.1981863,41.8639546,Голубарник,628
6503511473,21.2022468,41.8718906,Средни Рид,619
6503511474,21.2214487,41.8762428,Говедарник,730
6503515592,21.1686464,41.816217,Градец,505
6503522599,21.1535065,41.810404,Теме,658
6503527366,21.1672263,41.854659,Костен,661
6505534808,21.213175,41.6087116,Велја Краста,694
6505534809,21.2057276,41.611362,Мало Брдо,700
6505534810,21.2039337,41.5913966,Баба,705
6507358064,22.4793483,41.1212313,Чучулен,188
6510036532,21.7565,41.7596707,Бајраче,448
6510046885,21.608127,41.5866319,Плевенски Рид,1211
6510046886,21.584349,41.6885987,Вршник,705
6510096078,21.6533956,41.8473462,Маленица,474
6510208917,21.695401,41.8835893,Чукар,330
6510208918,21.6939308,41.8921604,Пржар,398
6510208919,21.7058622,41.8797343,Црвени Мел,448
6514280790,22.6734138,41.2527834,Мала Боска,502
6515039787,21.0811442,41.7291181,Ќуле,1368
6515785435,21.1783297,40.9855234,Широко Стапало,2415
6515790729,21.2460858,41.033712,Диховски Рид,1280
6517880120,20.9801945,41.5555369,Чука,692
6517880121,20.988423,41.5607694,Џамбазово Брдо,703
6517955780,21.3822659,41.9638827,Абедиште,1044
6533604241,20.7746035,41.6951872,Црн Камен,1258
6541494854,22.1308595,41.5704997,Орлово Брдо,534
6542540918,22.1792146,42.0694302,Баба,908
6543597458,22.3237516,41.2737062,Висока Чука,1388
6543906871,22.0701097,41.3682843,Градот,741
6543906872,22.0518352,41.3616703,Крстот,723
6543906873,22.0613175,41.3602978,Габерот,697
